City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,isiro,2.7739,27.616,17.09,96,98,1.02,CD,1670380681
83,saint-philippe,-21.3585,55.7679,24.77,80,81,6.58,RE,1670380521
84,hobart,-42.8794,147.3294,17.81,62,40,6.17,AU,1670380087
85,necochea,-38.5473,-58.7368,15.71,80,5,5.3,AR,1670380682
86,longkou,37.6508,120.3286,6.62,49,0,5.62,CN,1670380683
87,tasiilaq,65.6145,-37.6368,1.09,71,6,4.04,GL,1670380683
88,arraial do cabo,-22.9661,-42.0278,21.98,94,100,4.12,BR,1670380684
89,lebu,-37.6167,-73.65,14.05,82,35,0.64,CL,1670380443
90,port alfred,-33.5906,26.891,16.21,92,0,0.45,ZA,1670380685
91,ponta do sol,32.6667,-17.1,21.67,94,94,6.21,PT,1670380686
92,nikolskoye,59.7035,30.7861,-5.05,93,100,4.01,RU,1670380467
93,brae,60.3964,-1.353,2.79,66,100,11.03,GB,1670380526
94,waddan,29.1614,16.139,15.74,43,3,2.62,LY,1670380688
95,severo-kurilsk,50.6789,156.125,-0.08,84,83,5.2,RU,1670380688
96,bima,-8.4667,118.7167,33.17,51,65,0.7,ID,1670380689
97,altamont,42.2068,-121.7372,-1.24,80,0,0.0,US,1670380511
98,thompson,55.7435,-97.8558,-27.91,69,40,5.66,CA,1670380690
99,comodoro rivadavia,-45.8667,-67.5,17.92,29,0,4.63,AR,1670380638
100,tres picos,15.8667,-93.5333,24.26,67,17,1.71,MX,1670380691
101,la asuncion,11.0333,-63.8628,22.85,94,42,2.57,VE,1670380692
102,cape town,-33.9258,18.4232,15.62,81,0,1.03,ZA,1670380692
103,antalaha,-14.9003,50.2788,22.31,79,2,2.65,MG,1670380693
104,lisakovsk,52.5369,62.4936,-25.15,100,93,1.67,KZ,1670380694
105,genoa,44.4129,8.9573,10.68,78,0,7.2,IT,1670380694
106,tateyama,34.9833,139.8667,12.37,63,62,2.59,JP,1670380695
107,ust-ilimsk,58.0006,102.6619,-13.47,91,100,5.88,RU,1670380560
108,nome,64.5011,-165.4064,-8.96,86,0,0.0,US,1670380696
109,leh,34.1667,77.5833,-8.08,70,52,0.78,IN,1670380697
110,san luis,-33.295,-66.3356,23.99,47,0,7.35,AR,1670380697
111,kentau,43.5206,68.5094,-9.7,62,0,2.31,KZ,1670380698
112,longyearbyen,78.2186,15.6401,-11.09,57,20,6.17,SJ,1670380493
113,baykit,61.67,96.37,-10.42,90,100,4.46,RU,1670380699
